"quarter_date","quarter_name","hb_code","hb_name","loc_code","loc_name","appt_type","count","rate"
"30/06/2018","Apr - Jun-18","SB0801","National Waiting Times Centre","D102H","Golden Jubilee National Hospital","All Appointments",6829,NA
"30/09/2018","Jul - Sep-18","SB0801","National Waiting Times Centre","D102H","Golden Jubilee National Hospital","All Appointments",6700,NA
"31/12/2018","Oct - Dec-18","SB0801","National Waiting Times Centre","D102H","Golden Jubilee National Hospital","All Appointments",6627,NA
"31/03/2019","Jan - Mar-19","SB0801","National Waiting Times Centre","D102H","Golden Jubilee National Hospital","All Appointments",6342,NA
"30/06/2019","Apr - Jun-19","SB0801","National Waiting Times Centre","D102H","Golden Jubilee National Hospital","All Appointments",6125,NA
"30/06/2014","Apr - Jun-14","SB0801","National Waiting Times Centre","D102H","Golden Jubilee National Hospital","DNA",136,5.14372163388805
"30/09/2014","Jul - Sep-14","SB0801","National Waiting Times Centre","D102H","Golden Jubilee National Hospital","DNA",183,5.46921697549313
"31/12/2014","Oct - Dec-14","SB0801","National Waiting Times Centre","D102H","Golden Jubilee National Hospital","DNA",216,6.78818353236958
"31/03/2015","Jan - Mar-15","SB0801","National Waiting Times Centre","D102H","Golden Jubilee National Hospital","DNA",232,7.50323415265201
"30/06/2015","Apr - Jun-15","SB0801","National Waiting Times Centre","D102H","Golden Jubilee National Hospital","DNA",168,5.76725025746653
"30/09/2015","Jul - Sep-15","SB0801","National Waiting Times Centre","D102H","Golden Jubilee National Hospital","DNA",197,6.05222734254992
"31/12/2015","Oct - Dec-15","SB0801","National Waiting Times Centre","D102H","Golden Jubilee National Hospital","DNA",217,5.62905317769131
"31/03/2016","Jan - Mar-16","SB0801","National Waiting Times Centre","D102H","Golden Jubilee National Hospital","DNA",254,6.80235672201393
"30/06/2016","Apr - Jun-16","SB0801","National Waiting Times Centre","D102H","Golden Jubilee National Hospital","DNA",193,5.07494083618196
"30/09/2016","Jul - Sep-16","SB0801","National Waiting Times Centre","D102H","Golden Jubilee National Hospital","DNA",214,5.74650912996778
"31/12/2016","Oct - Dec-16","SB0801","National Waiting Times Centre","D102H","Golden Jubilee National Hospital","DNA",215,6.10795454545455
"31/03/2017","Jan - Mar-17","SB0801","National Waiting Times Centre","D102H","Golden Jubilee National Hospital","DNA",162,4.70246734397678
"30/06/2017","Apr - Jun-17","SB0801","National Waiting Times Centre","D102H","Golden Jubilee National Hospital","DNA",183,4.67075038284839
"30/09/2017","Jul - Sep-17","SB0801","National Waiting Times Centre","D102H","Golden Jubilee National Hospital","DNA",211,5.29219964885879
"31/12/2017","Oct - Dec-17","SB0801","National Waiting Times Centre","D102H","Golden Jubilee National Hospital","DNA",206,5.11547057362801
"31/03/2018","Jan - Mar-18","SB0801","National Waiting Times Centre","D102H","Golden Jubilee National Hospital","DNA",151,3.78067100650977
"30/06/2018","Apr - Jun-18","SB0801","National Waiting Times Centre","D102H","Golden Jubilee National Hospital","DNA",214,4.84601449275362
"30/09/2018","Jul - Sep-18","SB0801","National Waiting Times Centre","D102H","Golden Jubilee National Hospital","DNA",164,3.78752886836028
"31/12/2018","Oct - Dec-18","SB0801","National Waiting Times Centre","D102H","Golden Jubilee National Hospital","DNA",154,3.71980676328502
"31/03/2019","Jan - Mar-19","SB0801","National Waiting Times Centre","D102H","Golden Jubilee National Hospital","DNA",124,3.20082601961797
"30/06/2019","Apr - Jun-19","SB0801","National Waiting Times Centre","D102H","Golden Jubilee National Hospital","DNA",128,3.42520738560343
"30/06/2014","Apr - Jun-14","SB0801","National Waiting Times Centre","D102H","Golden Jubilee National Hospital","New",2508,NA
"30/09/2014","Jul - Sep-14","SB0801","National Waiting Times Centre","D102H","Golden Jubilee National Hospital","New",3163,NA
"31/12/2014","Oct - Dec-14","SB0801","National Waiting Times Centre","D102H","Golden Jubilee National Hospital","New",2966,NA
"31/03/2015","Jan - Mar-15","SB0801","National Waiting Times Centre","D102H","Golden Jubilee National Hospital","New",2860,NA
"30/06/2015","Apr - Jun-15","SB0801","National Waiting Times Centre","D102H","Golden Jubilee National Hospital","New",2745,NA
"30/09/2015","Jul - Sep-15","SB0801","National Waiting Times Centre","D102H","Golden Jubilee National Hospital","New",3058,NA
"31/12/2015","Oct - Dec-15","SB0801","National Waiting Times Centre","D102H","Golden Jubilee National Hospital","New",3638,NA
"31/03/2016","Jan - Mar-16","SB0801","National Waiting Times Centre","D102H","Golden Jubilee National Hospital","New",3480,NA
"30/06/2016","Apr - Jun-16","SB0801","National Waiting Times Centre","D102H","Golden Jubilee National Hospital","New",3610,NA
"30/09/2016","Jul - Sep-16","SB0801","National Waiting Times Centre","D102H","Golden Jubilee National Hospital","New",3510,NA
"31/12/2016","Oct - Dec-16","SB0801","National Waiting Times Centre","D102H","Golden Jubilee National Hospital","New",3305,NA
"31/03/2017","Jan - Mar-17","SB0801","National Waiting Times Centre","D102H","Golden Jubilee National Hospital","New",3283,NA
"30/06/2017","Apr - Jun-17","SB0801","National Waiting Times Centre","D102H","Golden Jubilee National Hospital","New",3735,NA
"30/09/2017","Jul - Sep-17","SB0801","National Waiting Times Centre","D102H","Golden Jubilee National Hospital","New",3776,NA
"31/12/2017","Oct - Dec-17","SB0801","National Waiting Times Centre","D102H","Golden Jubilee National Hospital","New",3821,NA
"31/03/2018","Jan - Mar-18","SB0801","National Waiting Times Centre","D102H","Golden Jubilee National Hospital","New",3843,NA
"30/06/2018","Apr - Jun-18","SB0801","National Waiting Times Centre","D102H","Golden Jubilee National Hospital","New",4202,NA
"30/09/2018","Jul - Sep-18","SB0801","National Waiting Times Centre","D102H","Golden Jubilee National Hospital","New",4166,NA
"31/12/2018","Oct - Dec-18","SB0801","National Waiting Times Centre","D102H","Golden Jubilee National Hospital","New",3986,NA
"31/03/2019","Jan - Mar-19","SB0801","National Waiting Times Centre","D102H","Golden Jubilee National Hospital","New",3750,NA
"30/06/2019","Apr - Jun-19","SB0801","National Waiting Times Centre","D102H","Golden Jubilee National Hospital","New",3609,NA
"30/06/2014","Apr - Jun-14","SB0801","National Waiting Times Centre","D102H","Golden Jubilee National Hospital","Return",2984,NA
"30/09/2014","Jul - Sep-14","SB0801","National Waiting Times Centre","D102H","Golden Jubilee National Hospital","Return",2889,NA
"31/12/2014","Oct - Dec-14","SB0801","National Waiting Times Centre","D102H","Golden Jubilee National Hospital","Return",2918,NA
"31/03/2015","Jan - Mar-15","SB0801","National Waiting Times Centre","D102H","Golden Jubilee National Hospital","Return",2954,NA
"30/06/2015","Apr - Jun-15","SB0801","National Waiting Times Centre","D102H","Golden Jubilee National Hospital","Return",2919,NA
"30/09/2015","Jul - Sep-15","SB0801","National Waiting Times Centre","D102H","Golden Jubilee National Hospital","Return",2751,NA
"31/12/2015","Oct - Dec-15","SB0801","National Waiting Times Centre","D102H","Golden Jubilee National Hospital","Return",2552,NA
"31/03/2016","Jan - Mar-16","SB0801","National Waiting Times Centre","D102H","Golden Jubilee National Hospital","Return",2719,NA
"30/06/2016","Apr - Jun-16","SB0801","National Waiting Times Centre","D102H","Golden Jubilee National Hospital","Return",2778,NA
"30/09/2016","Jul - Sep-16","SB0801","National Waiting Times Centre","D102H","Golden Jubilee National Hospital","Return",2697,NA
"31/12/2016","Oct - Dec-16","SB0801","National Waiting Times Centre","D102H","Golden Jubilee National Hospital","Return",2675,NA
"31/03/2017","Jan - Mar-17","SB0801","National Waiting Times Centre","D102H","Golden Jubilee National Hospital","Return",2746,NA
"30/06/2017","Apr - Jun-17","SB0801","National Waiting Times Centre","D102H","Golden Jubilee National Hospital","Return",2555,NA
"30/09/2017","Jul - Sep-17","SB0801","National Waiting Times Centre","D102H","Golden Jubilee National Hospital","Return",2718,NA
"31/12/2017","Oct - Dec-17","SB0801","National Waiting Times Centre","D102H","Golden Jubilee National Hospital","Return",2695,NA
"31/03/2018","Jan - Mar-18","SB0801","National Waiting Times Centre","D102H","Golden Jubilee National Hospital","Return",2468,NA
"30/06/2018","Apr - Jun-18","SB0801","National Waiting Times Centre","D102H","Golden Jubilee National Hospital","Return",2627,NA
"30/09/2018","Jul - Sep-18","SB0801","National Waiting Times Centre","D102H","Golden Jubilee National Hospital","Return",2534,NA
"31/12/2018","Oct - Dec-18","SB0801","National Waiting Times Centre","D102H","Golden Jubilee National Hospital","Return",2641,NA
"31/03/2019","Jan - Mar-19","SB0801","National Waiting Times Centre","D102H","Golden Jubilee National Hospital","Return",2592,NA
"30/06/2019","Apr - Jun-19","SB0801","National Waiting Times Centre","D102H","Golden Jubilee National Hospital","Return",2516,NA
"30/06/2014","Apr - Jun-14","SB0801","National Waiting Times Centre","SB0801","National Waiting Times Centre","All Appointments",5492,NA
"30/09/2014","Jul - Sep-14","SB0801","National Waiting Times Centre","SB0801","National Waiting Times Centre","All Appointments",6052,NA
"31/12/2014","Oct - Dec-14","SB0801","National Waiting Times Centre","SB0801","National Waiting Times Centre","All Appointments",5884,NA
"31/03/2015","Jan - Mar-15","SB0801","National Waiting Times Centre","SB0801","National Waiting Times Centre","All Appointments",5814,NA
"30/06/2015","Apr - Jun-15","SB0801","National Waiting Times Centre","SB0801","National Waiting Times Centre","All Appointments",5664,NA
"30/09/2015","Jul - Sep-15","SB0801","National Waiting Times Centre","SB0801","National Waiting Times Centre","All Appointments",5809,NA
"31/12/2015","Oct - Dec-15","SB0801","National Waiting Times Centre","SB0801","National Waiting Times Centre","All Appointments",6190,NA
"31/03/2016","Jan - Mar-16","SB0801","National Waiting Times Centre","SB0801","National Waiting Times Centre","All Appointments",6199,NA
"30/06/2016","Apr - Jun-16","SB0801","National Waiting Times Centre","SB0801","National Waiting Times Centre","All Appointments",6388,NA
"30/09/2016","Jul - Sep-16","SB0801","National Waiting Times Centre","SB0801","National Waiting Times Centre","All Appointments",6207,NA
"31/12/2016","Oct - Dec-16","SB0801","National Waiting Times Centre","SB0801","National Waiting Times Centre","All Appointments",5980,NA
"31/03/2017","Jan - Mar-17","SB0801","National Waiting Times Centre","SB0801","National Waiting Times Centre","All Appointments",6029,NA
"30/06/2017","Apr - Jun-17","SB0801","National Waiting Times Centre","SB0801","National Waiting Times Centre","All Appointments",6290,NA
"30/09/2017","Jul - Sep-17","SB0801","National Waiting Times Centre","SB0801","National Waiting Times Centre","All Appointments",6494,NA
"31/12/2017","Oct - Dec-17","SB0801","National Waiting Times Centre","SB0801","National Waiting Times Centre","All Appointments",6516,NA
"31/03/2018","Jan - Mar-18","SB0801","National Waiting Times Centre","SB0801","National Waiting Times Centre","All Appointments",6311,NA
"30/06/2018","Apr - Jun-18","SB0801","National Waiting Times Centre","SB0801","National Waiting Times Centre","All Appointments",6829,NA
"30/09/2018","Jul - Sep-18","SB0801","National Waiting Times Centre","SB0801","National Waiting Times Centre","All Appointments",6700,NA
"31/12/2018","Oct - Dec-18","SB0801","National Waiting Times Centre","SB0801","National Waiting Times Centre","All Appointments",6627,NA
"31/03/2019","Jan - Mar-19","SB0801","National Waiting Times Centre","SB0801","National Waiting Times Centre","All Appointments",6342,NA
"30/06/2019","Apr - Jun-19","SB0801","National Waiting Times Centre","SB0801","National Waiting Times Centre","All Appointments",6125,NA
"30/06/2014","Apr - Jun-14","SB0801","National Waiting Times Centre","SB0801","National Waiting Times Centre","DNA",136,5.14372163388805
"30/09/2014","Jul - Sep-14","SB0801","National Waiting Times Centre","SB0801","National Waiting Times Centre","DNA",183,5.46921697549313
"31/12/2014","Oct - Dec-14","SB0801","National Waiting Times Centre","SB0801","National Waiting Times Centre","DNA",216,6.78818353236958
"31/03/2015","Jan - Mar-15","SB0801","National Waiting Times Centre","SB0801","National Waiting Times Centre","DNA",232,7.50323415265201
"30/06/2015","Apr - Jun-15","SB0801","National Waiting Times Centre","SB0801","National Waiting Times Centre","DNA",168,5.76725025746653
"30/09/2015","Jul - Sep-15","SB0801","National Waiting Times Centre","SB0801","National Waiting Times Centre","DNA",197,6.05222734254992
"31/12/2015","Oct - Dec-15","SB0801","National Waiting Times Centre","SB0801","National Waiting Times Centre","DNA",217,5.62905317769131
"31/03/2016","Jan - Mar-16","SB0801","National Waiting Times Centre","SB0801","National Waiting Times Centre","DNA",254,6.80235672201393
"30/06/2016","Apr - Jun-16","SB0801","National Waiting Times Centre","SB0801","National Waiting Times Centre","DNA",193,5.07494083618196
"30/09/2016","Jul - Sep-16","SB0801","National Waiting Times Centre","SB0801","National Waiting Times Centre","DNA",214,5.74650912996778
"31/12/2016","Oct - Dec-16","SB0801","National Waiting Times Centre","SB0801","National Waiting Times Centre","DNA",215,6.10795454545455
"31/03/2017","Jan - Mar-17","SB0801","National Waiting Times Centre","SB0801","National Waiting Times Centre","DNA",162,4.70246734397678
"30/06/2017","Apr - Jun-17","SB0801","National Waiting Times Centre","SB0801","National Waiting Times Centre","DNA",183,4.67075038284839
"30/09/2017","Jul - Sep-17","SB0801","National Waiting Times Centre","SB0801","National Waiting Times Centre","DNA",211,5.29219964885879
"31/12/2017","Oct - Dec-17","SB0801","National Waiting Times Centre","SB0801","National Waiting Times Centre","DNA",206,5.11547057362801
"31/03/2018","Jan - Mar-18","SB0801","National Waiting Times Centre","SB0801","National Waiting Times Centre","DNA",151,3.78067100650977
"30/06/2018","Apr - Jun-18","SB0801","National Waiting Times Centre","SB0801","National Waiting Times Centre","DNA",214,4.84601449275362
"30/09/2018","Jul - Sep-18","SB0801","National Waiting Times Centre","SB0801","National Waiting Times Centre","DNA",164,3.78752886836028
"31/12/2018","Oct - Dec-18","SB0801","National Waiting Times Centre","SB0801","National Waiting Times Centre","DNA",154,3.71980676328502
"31/03/2019","Jan - Mar-19","SB0801","National Waiting Times Centre","SB0801","National Waiting Times Centre","DNA",124,3.20082601961797
"30/06/2019","Apr - Jun-19","SB0801","National Waiting Times Centre","SB0801","National Waiting Times Centre","DNA",128,3.42520738560343
"30/06/2014","Apr - Jun-14","SB0801","National Waiting Times Centre","SB0801","National Waiting Times Centre","New",2508,NA
"30/09/2014","Jul - Sep-14","SB0801","National Waiting Times Centre","SB0801","National Waiting Times Centre","New",3163,NA
"31/12/2014","Oct - Dec-14","SB0801","National Waiting Times Centre","SB0801","National Waiting Times Centre","New",2966,NA
"31/03/2015","Jan - Mar-15","SB0801","National Waiting Times Centre","SB0801","National Waiting Times Centre","New",2860,NA
"30/06/2015","Apr - Jun-15","SB0801","National Waiting Times Centre","SB0801","National Waiting Times Centre","New",2745,NA
"30/09/2015","Jul - Sep-15","SB0801","National Waiting Times Centre","SB0801","National Waiting Times Centre","New",3058,NA
"31/12/2015","Oct - Dec-15","SB0801","National Waiting Times Centre","SB0801","National Waiting Times Centre","New",3638,NA
"31/03/2016","Jan - Mar-16","SB0801","National Waiting Times Centre","SB0801","National Waiting Times Centre","New",3480,NA
"30/06/2016","Apr - Jun-16","SB0801","National Waiting Times Centre","SB0801","National Waiting Times Centre","New",3610,NA
"30/09/2016","Jul - Sep-16","SB0801","National Waiting Times Centre","SB0801","National Waiting Times Centre","New",3510,NA
"31/12/2016","Oct - Dec-16","SB0801","National Waiting Times Centre","SB0801","National Waiting Times Centre","New",3305,NA
"31/03/2017","Jan - Mar-17","SB0801","National Waiting Times Centre","SB0801","National Waiting Times Centre","New",3283,NA
"30/06/2017","Apr - Jun-17","SB0801","National Waiting Times Centre","SB0801","National Waiting Times Centre","New",3735,NA
"30/09/2017","Jul - Sep-17","SB0801","National Waiting Times Centre","SB0801","National Waiting Times Centre","New",3776,NA
"31/12/2017","Oct - Dec-17","SB0801","National Waiting Times Centre","SB0801","National Waiting Times Centre","New",3821,NA
"31/03/2018","Jan - Mar-18","SB0801","National Waiting Times Centre","SB0801","National Waiting Times Centre","New",3843,NA
"30/06/2018","Apr - Jun-18","SB0801","National Waiting Times Centre","SB0801","National Waiting Times Centre","New",4202,NA
"30/09/2018","Jul - Sep-18","SB0801","National Waiting Times Centre","SB0801","National Waiting Times Centre","New",4166,NA
"31/12/2018","Oct - Dec-18","SB0801","National Waiting Times Centre","SB0801","National Waiting Times Centre","New",3986,NA
"31/03/2019","Jan - Mar-19","SB0801","National Waiting Times Centre","SB0801","National Waiting Times Centre","New",3750,NA
"30/06/2019","Apr - Jun-19","SB0801","National Waiting Times Centre","SB0801","National Waiting Times Centre","New",3609,NA
"30/06/2014","Apr - Jun-14","SB0801","National Waiting Times Centre","SB0801","National Waiting Times Centre","Return",2984,NA
"30/09/2014","Jul - Sep-14","SB0801","National Waiting Times Centre","SB0801","National Waiting Times Centre","Return",2889,NA
"31/12/2014","Oct - Dec-14","SB0801","National Waiting Times Centre","SB0801","National Waiting Times Centre","Return",2918,NA
"31/03/2015","Jan - Mar-15","SB0801","National Waiting Times Centre","SB0801","National Waiting Times Centre","Return",2954,NA
"30/06/2015","Apr - Jun-15","SB0801","National Waiting Times Centre","SB0801","National Waiting Times Centre","Return",2919,NA
"30/09/2015","Jul - Sep-15","SB0801","National Waiting Times Centre","SB0801","National Waiting Times Centre","Return",2751,NA
"31/12/2015","Oct - Dec-15","SB0801","National Waiting Times Centre","SB0801","National Waiting Times Centre","Return",2552,NA
"31/03/2016","Jan - Mar-16","SB0801","National Waiting Times Centre","SB0801","National Waiting Times Centre","Return",2719,NA
"30/06/2016","Apr - Jun-16","SB0801","National Waiting Times Centre","SB0801","National Waiting Times Centre","Return",2778,NA
"30/09/2016","Jul - Sep-16","SB0801","National Waiting Times Centre","SB0801","National Waiting Times Centre","Return",2697,NA
"31/12/2016","Oct - Dec-16","SB0801","National Waiting Times Centre","SB0801","National Waiting Times Centre","Return",2675,NA
"31/03/2017","Jan - Mar-17","SB0801","National Waiting Times Centre","SB0801","National Waiting Times Centre","Return",2746,NA
"30/06/2017","Apr - Jun-17","SB0801","National Waiting Times Centre","SB0801","National Waiting Times Centre","Return",2555,NA
"30/09/2017","Jul - Sep-17","SB0801","National Waiting Times Centre","SB0801","National Waiting Times Centre","Return",2718,NA
"31/12/2017","Oct - Dec-17","SB0801","National Waiting Times Centre","SB0801","National Waiting Times Centre","Return",2695,NA
"31/03/2018","Jan - Mar-18","SB0801","National Waiting Times Centre","SB0801","National Waiting Times Centre","Return",2468,NA
"30/06/2018","Apr - Jun-18","SB0801","National Waiting Times Centre","SB0801","National Waiting Times Centre","Return",2627,NA
"30/09/2018","Jul - Sep-18","SB0801","National Waiting Times Centre","SB0801","National Waiting Times Centre","Return",2534,NA
"31/12/2018","Oct - Dec-18","SB0801","National Waiting Times Centre","SB0801","National Waiting Times Centre","Return",2641,NA
"31/03/2019","Jan - Mar-19","SB0801","National Waiting Times Centre","SB0801","National Waiting Times Centre","Return",2592,NA
"30/06/2019","Apr - Jun-19","SB0801","National Waiting Times Centre","SB0801","National Waiting Times Centre","Return",2516,NA
"30/06/2014","Apr - Jun-14","S08000015","NHS Ayrshire & Arran","A101H","Arran War Memorial Hospital","All Appointments",80,NA
"30/09/2014","Jul - Sep-14","S08000015","NHS Ayrshire & Arran","A101H","Arran War Memorial Hospital","All Appointments",58,NA
"31/12/2014","Oct - Dec-14","S08000015","NHS Ayrshire & Arran","A101H","Arran War Memorial Hospital","All Appointments",56,NA
"31/03/2015","Jan - Mar-15","S08000015","NHS Ayrshire & Arran","A101H","Arran War Memorial Hospital","All Appointments",59,NA
"30/06/2015","Apr - Jun-15","S08000015","NHS Ayrshire & Arran","A101H","Arran War Memorial Hospital","All Appointments",54,NA
"30/09/2015","Jul - Sep-15","S08000015","NHS Ayrshire & Arran","A101H","Arran War Memorial Hospital","All Appointments",48,NA
"31/12/2015","Oct - Dec-15","S08000015","NHS Ayrshire & Arran","A101H","Arran War Memorial Hospital","All Appointments",43,NA
"31/03/2016","Jan - Mar-16","S08000015","NHS Ayrshire & Arran","A101H","Arran War Memorial Hospital","All Appointments",55,NA
"30/06/2016","Apr - Jun-16","S08000015","NHS Ayrshire & Arran","A101H","Arran War Memorial Hospital","All Appointments",130,NA
"30/09/2016","Jul - Sep-16","S08000015","NHS Ayrshire & Arran","A101H","Arran War Memorial Hospital","All Appointments",140,NA
"31/12/2016","Oct - Dec-16","S08000015","NHS Ayrshire & Arran","A101H","Arran War Memorial Hospital","All Appointments",130,NA
"31/03/2017","Jan - Mar-17","S08000015","NHS Ayrshire & Arran","A101H","Arran War Memorial Hospital","All Appointments",85,NA
"30/06/2017","Apr - Jun-17","S08000015","NHS Ayrshire & Arran","A101H","Arran War Memorial Hospital","All Appointments",87,NA
"30/09/2017","Jul - Sep-17","S08000015","NHS Ayrshire & Arran","A101H","Arran War Memorial Hospital","All Appointments",106,NA
"31/12/2017","Oct - Dec-17","S08000015","NHS Ayrshire & Arran","A101H","Arran War Memorial Hospital","All Appointments",91,NA
"31/03/2018","Jan - Mar-18","S08000015","NHS Ayrshire & Arran","A101H","Arran War Memorial Hospital","All Appointments",60,NA
"30/06/2018","Apr - Jun-18","S08000015","NHS Ayrshire & Arran","A101H","Arran War Memorial Hospital","All Appointments",61,NA
"30/09/2018","Jul - Sep-18","S08000015","NHS Ayrshire & Arran","A101H","Arran War Memorial Hospital","All Appointments",95,NA
"31/12/2018","Oct - Dec-18","S08000015","NHS Ayrshire & Arran","A101H","Arran War Memorial Hospital","All Appointments",79,NA
"31/03/2019","Jan - Mar-19","S08000015","NHS Ayrshire & Arran","A101H","Arran War Memorial Hospital","All Appointments",91,NA
"30/06/2019","Apr - Jun-19","S08000015","NHS Ayrshire & Arran","A101H","Arran War Memorial Hospital","All Appointments",87,NA
"30/06/2014","Apr - Jun-14","S08000015","NHS Ayrshire & Arran","A101H","Arran War Memorial Hospital","DNA",5,6.02409638554217
"30/09/2014","Jul - Sep-14","S08000015","NHS Ayrshire & Arran","A101H","Arran War Memorial Hospital","DNA",0,0
"31/12/2014","Oct - Dec-14","S08000015","NHS Ayrshire & Arran","A101H","Arran War Memorial Hospital","DNA",5,8.47457627118644
"31/03/2015","Jan - Mar-15","S08000015","NHS Ayrshire & Arran","A101H","Arran War Memorial Hospital","DNA",0,0
"30/06/2015","Apr - Jun-15","S08000015","NHS Ayrshire & Arran","A101H","Arran War Memorial Hospital","DNA",5,8.7719298245614
"30/09/2015","Jul - Sep-15","S08000015","NHS Ayrshire & Arran","A101H","Arran War Memorial Hospital","DNA",5,9.25925925925926
"31/12/2015","Oct - Dec-15","S08000015","NHS Ayrshire & Arran","A101H","Arran War Memorial Hospital","DNA",5,10.4166666666667
"31/03/2016","Jan - Mar-16","S08000015","NHS Ayrshire & Arran","A101H","Arran War Memorial Hospital","DNA",0,0
"30/06/2016","Apr - Jun-16","S08000015","NHS Ayrshire & Arran","A101H","Arran War Memorial Hospital","DNA",0,0
"30/09/2016","Jul - Sep-16","S08000015","NHS Ayrshire & Arran","A101H","Arran War Memorial Hospital","DNA",0,0
"31/12/2016","Oct - Dec-16","S08000015","NHS Ayrshire & Arran","A101H","Arran War Memorial Hospital","DNA",0,0
"31/03/2017","Jan - Mar-17","S08000015","NHS Ayrshire & Arran","A101H","Arran War Memorial Hospital","DNA",0,0
"30/06/2017","Apr - Jun-17","S08000015","NHS Ayrshire & Arran","A101H","Arran War Memorial Hospital","DNA",0,0
"30/09/2017","Jul - Sep-17","S08000015","NHS Ayrshire & Arran","A101H","Arran War Memorial Hospital","DNA",0,0
"31/12/2017","Oct - Dec-17","S08000015","NHS Ayrshire & Arran","A101H","Arran War Memorial Hospital","DNA",0,0
"31/03/2018","Jan - Mar-18","S08000015","NHS Ayrshire & Arran","A101H","Arran War Memorial Hospital","DNA",0,0
"30/06/2018","Apr - Jun-18","S08000015","NHS Ayrshire & Arran","A101H","Arran War Memorial Hospital","DNA",0,0
"30/09/2018","Jul - Sep-18","S08000015","NHS Ayrshire & Arran","A101H","Arran War Memorial Hospital","DNA",5,20.8333333333333
"31/12/2018","Oct - Dec-18","S08000015","NHS Ayrshire & Arran","A101H","Arran War Memorial Hospital","DNA",0,0
"31/03/2019","Jan - Mar-19","S08000015","NHS Ayrshire & Arran","A101H","Arran War Memorial Hospital","DNA",0,0
"30/06/2019","Apr - Jun-19","S08000015","NHS Ayrshire & Arran","A101H","Arran War Memorial Hospital","DNA",0,0
"30/06/2014","Apr - Jun-14","S08000015","NHS Ayrshire & Arran","A101H","Arran War Memorial Hospital","New",80,NA
"30/09/2014","Jul - Sep-14","S08000015","NHS Ayrshire & Arran","A101H","Arran War Memorial Hospital","New",58,NA
"31/12/2014","Oct - Dec-14","S08000015","NHS Ayrshire & Arran","A101H","Arran War Memorial Hospital","New",56,NA
"31/03/2015","Jan - Mar-15","S08000015","NHS Ayrshire & Arran","A101H","Arran War Memorial Hospital","New",59,NA
"30/06/2015","Apr - Jun-15","S08000015","NHS Ayrshire & Arran","A101H","Arran War Memorial Hospital","New",54,NA
"30/09/2015","Jul - Sep-15","S08000015","NHS Ayrshire & Arran","A101H","Arran War Memorial Hospital","New",48,NA
"31/12/2015","Oct - Dec-15","S08000015","NHS Ayrshire & Arran","A101H","Arran War Memorial Hospital","New",43,NA
"31/03/2016","Jan - Mar-16","S08000015","NHS Ayrshire & Arran","A101H","Arran War Memorial Hospital","New",55,NA
"30/06/2016","Apr - Jun-16","S08000015","NHS Ayrshire & Arran","A101H","Arran War Memorial Hospital","New",34,NA
"30/09/2016","Jul - Sep-16","S08000015","NHS Ayrshire & Arran","A101H","Arran War Memorial Hospital","New",40,NA
"31/12/2016","Oct - Dec-16","S08000015","NHS Ayrshire & Arran","A101H","Arran War Memorial Hospital","New",21,NA
"31/03/2017","Jan - Mar-17","S08000015","NHS Ayrshire & Arran","A101H","Arran War Memorial Hospital","New",23,NA
"30/06/2017","Apr - Jun-17","S08000015","NHS Ayrshire & Arran","A101H","Arran War Memorial Hospital","New",23,NA
